Speaker1,Speaker2
but if she dies . . .,it s only mortal death .
are you sure ?,pretty sure .
you fight it cut .,and up a dime .
the elevator wasn t working ?,no it has a mind of its own .
 no !,the man downstairs said number 
i can t say .,oh .
why not ?,i don t know .
i ll see you then .,calling my bluff are you harry ?
it s your turn !,i don t need a turn !
what are you doing keitel blacksmith ?,get away snorri .
he gots to be did .,did he gots to be .
well . . .,i m twenty eight
oh ! you re here .,what have you got egon ?
hum .,what ?
wednesday thursday friday .,i don t understand .
yes .,where ?
then your father s a wimp .,and you re just poor white trash !
to what ?,you re now mantan .
i have it here .,good .
you better not sing that song .,why ?
yeah . i brought you some movies .,anything good ?
hold on ,you gotta believe me 
got it . good tip .,bye . . .
oh boy oh god oh crap oh no .,come on jim . where are you ?
and what are you going to do ?,the pearls are in her room .
do i ?,like you re concerned .
feel that .,that s tight . solid .
yeah .,good . tomorrow after the party .
information .,what kind ?
you re not still mad at me i hope,no we re jake . but listen 
you the magician ?,no .
yes ?,did you hear ?
how s the pain ?,how s yours ?
he s still breathing .,where did he come from ?
right .,unless you want the right .
well what ?,what do you think ?
just wondering .,so is buddy on your short list ?
an embolism in a pool .,an embarrassing way to die .
can you give me a drink please ?,yes of course . what do you want ?
yes .,will you tell him ?
i ve seen it before .,other fuckin assholes like me .
it does .,do you find him attractive ?
was this your idea ?,yes . hold this pigeon .
now ?,not yet .
are you drunk mulder ?,i was until about an hour ago .
wood or wire ? they have both .,either one will be fine .
maybe dinner .,dogs don t eat each other .
fine .,good .
ok .,have a good trip .
a long long long . . .,okay .
john john .,don t do that !
but it s light in there now .,please .
getting married .,to him ? he s a sick freak .
come on .,this is some boat . your father s ?
claudia don t ,why not ?
what ?,at the seven eleven .
what is it mary ?,that man who is he ?
pretty incredible isn t it ?,it s like a museum .
try to keep them busy for five minutes .,i ll give it my best shot .
we can t do that .,why not ?
back to your bed ! at once !,i m sorry i must go .
this was their burying ground louis .,whose burying ground ?
did you find him attractive ?,what do you mean like physically ?
yes . no . yes .,perhaps you can help me with my studies ?
the peace conference . . .,nice place to start don t you think ?
m mmm .,i just have time to get the uh 
yes i am .,but what about the past ? our past ?
so what do you see ?,surprise me .
how did you know it was her ?,i can smell her perfume .
who is it ?,it s ed .
you own this place ?,yep .
run snake . . .they re coming .,who ?
tonight . let s get together .,okay .
of course . what are you suggesting ?,i mean really meet her in the flesh .
how should i know ?,someone from the past .
dogshit . worse yet they don t care .,so then mr . mast . . .
we didn t get that far .,blind pete taught me a great trick .
well someone s gonna find them .,hell it won t be us !
what do you want jim ?,you re there .
he left with sophie .,what ? ! !
it s a double .,even better .
no .,positive ?
the fire .,what time ?
look . i ll see you tonight ok ?,ok .
where s the five ?,in your other hand .
thanks thanks .,i hope you ll be very happy .
up for a celebration dinner ?,are you asking me on a date ?
nowhere . i m trying to find her .,you got jimmy . let her go .
nothing .,what did you say ?
no no no no no it s new .,please .
what ?,i have a better plan .
nada . lemme make the call .,honest to god ruben !
no .,you have a fever sweetie ?
you re my girl aren t you ?,that i am . . .
told him what ?,what i did to joey .
she left the fucking gate open .,well he can t have gone far .
the fountainhead .,great book .
is she with you ?,who is this ?
 . . .please . . .,don t donnie . don t do it .
i get it !,you got it !
give the word admiral .,mr . scott the word is given .
no so help me .,it s my first time .
it s grace .,may i carry your package grace ?
just hung up .,how long you talk to her ?
 . . .,what ?
don t beth .,but i have to norman .
the lights come up you pull the switch .,i pull .
yeah i know .,what did he play ?
well i didn t vote for you .,you don t vote for kings .
do you know ?,no .
c .,that s the magic number .
are you all right ?,yes .
now you know what i know .,sir ?
you don t know she s a bitch .,she s all over him are you blind ?
yes .,why . . . ?
what are you talking about ?,nothing .
put that thing back on him fergus .,he s hot .
i ll take him anyway .,why ?
have you seen him ?,no .
you have id ?,not really .
a runner gave it to me .,and then you killed him right ?
what for ? you need to stay busy ?,i like to know why things happen .
yeah ?,yeah .
mr . bond ! nice to see you .,sir elliot .
i don t know .,suppose he doesn t come back again ?
bag this fucker buzzy .,it s gettin done sid .
regan why are you reading that ?,cause i like it .
so you noticed too ?,riddick . u riddick u .
and you have no idea where he lives ?,you ve asked me that one three times .
where s the candy ?,there is no candy !
and then they took their children .,their children ?
no .,what are you going to ?
what ?,when i say i love you .
oh dear .,what s the matter ?
why would we be involved with these people ?,good question .
maura .,maura .
when ?,right now .
she knows you real self ?,she knows how she feel .
but now it s free right ?,yeah .
well . . .,can we have it by tonight ?
okay .,electra 
you should .,are you sure he s dead ?
oh . michael s and carolyn s .,must be nice having kids .
do you really need these ?,only to see .
who is it ?,i don t know .
i swear .,oh my god .
affirmative .,so . . .you two are in love ?
billy what s the matter ?,my passport !
what ? i m not going anywhere !,oh yes you are !
bad people .,watched television ?
you were messed up man .,but look at me now . . .
you re a little confused ?,yeah .
where he can t get it ?,now you thought of that not me .
tina i ll be right back .,be a man .
no i don t .,are you a close friend of haven s ?
could there have been anyone else ?,obviously there was .
can t do it .,sir . . . ?
it s kinda money actually .,make someone bleed .
i call . what you got ?,three bullets ! any good ?
we re drunk .,oh yeah .
will he be alright ?,oh yeah . . . probably . . .
that was very good .,thank you .
what did you call me boy ?,i called you sarge .
i m not tired !,i m sure you re not .
your dancing s very good .,thanks .
you re not a c student .,uhn .
hello ?,kim lo ?
no no . it s okay .,tommy come on . put the gun away .
been telling you that all along lad .,what magic have we on our side ?
dad ! i know !,do you know about the clitoris ?
the elevator broke .,where s applejack ?
what about now ?,what ?
who s is it ?,i ll have to try to remember .
any idea when she ll be back ?,none .
 . . .i know where you are .,yeah ? where am i ?
oklahoma . do you know where that is ?,somewhere in the middle .
excuse me !,yes sir .
salvation is a last minute business boy .,keep talkin preacher .
that s all .,no it isn t where s the money ?
you okay ?,just fine . what s the weather like ?
maybe you didn t hear me .,if it s a question of authority .
john millaney .,one moment .
diane how are you feeling ?,fine .
it seems like we re getting lower .,it happens when i land .
get your kicks somewhere else .,hey i m not 
i should have known .,my husband is with me too .
this is good . uhh . . .,loretta .
then why send me back to them ? !,because i have to !
i will consider it . now leave me .,thank you your majesty .
call dad !,on it !
what about that other guy ?,other guy ?
i think it s interesting .,another kind of game ?
what do you hate most ?,a lie . what do you hate most ?
henry .,yeh .
brindisi versus electric boat .,you got a good memory franky .
i m trying marie okay ?,i worry when you get like this .
roman that s not the line .,it is in my script .
huh ?,kay connell . did you love her ?
nobody i tell you . jake stop it .,you re a fuckin liar .
leave .,don t tell me what to do .
lovely .,the bedroom .
yes mother .,say it !
are you okay ?,i think so .
what are you doing ?,we re going to need some time .
we re here brother .,you gotta keep going .
target locked !,fire !
jesus .,what ?
i was eating that .,no you weren t .
did you hear what i said son ?,huh ?
ohhhh !,how about you ?
i d like to see that .,nice .
yes esther .,i want you to talk dirty to me .
i can t say .,where does he work ?
fuel up . need fuel .,those are mine !
i didn t use my name .,what d i tell you ?
out there .,no way .
you re gonna get us hung up .,do not talk to the driver .
you re a thief ?,girl s gotta make a living .
he s my younger brother .,you have a brother ?
i know .,well goodbye .
please do not be frightened madam .,what do you want here ?
i accept . now get out .,get out ? we had an arrangement .
they won t recognize me .,why not .
why do you hunt them ?,habit mostly just like this .
why ?,this is a bad line .
bet you ass . . .,you re a witness doc !
tell him why we moved here .,hold it jim .
so when was he here ?,i don t know . oh .
 course i do they re my brothers .,well . . .
where s the girl ?,upstairs . why ?
because i have something very important to do .,what ?
esther !,mordechai !
